KIC,noise,noise_e,Pg,Pg_e,numax,numax_e,sig,sig_e,a1,a1_e,b1,b1_e,a2,a2_e,b2,b2_e,Ptot,Ptot_e,dnu,dnu_e,dnu02,dnu02_e,fm,fm_e,evoflag
9696716,12.316236,0.091722172,6369.1744,314.4554,24.603803,0.13434055,3.3657113,0.11275517,354.05611,9.5955512,7.6554128,0.30122698,322.95869,8.3162814,24.902348,0.42280205,231.65463,5.0174498,3.3511444,0.0053551151,0.49801546,0.0089313833,26.187075,0.0052323569,1
9697074,27.956357,0.29158414,7040.8781,359.69449,33.051399,0.27229102,5.6779204,0.20644848,450.64754,15.333688,10.023465,0.5427585,433.39754,14.227417,31.245002,0.65428992,316.34264,7.7813407,3.9967203,0.018433071,0.54971721,0.037925035,34.899209,0.016785799,1
9697078,15.472748,0.094951041,1128752.6,127437.38,3.6383809,0.083826748,0.81865442,0.075929663,2164.1392,148.34909,1.0513187,0.1318734,1877.9646,94.347578,3.3187552,0.099369153,1515.4025,67.702739,0.78575522,0.0047737476,0.11434548,0.0074086676,3.5990819,0.003909829,0
9698133,13.176738,0.30032618,361.15951,9.6492379,111.78703,0.34132462,13.534178,0.31478906,216.9771,3.0355102,29.877674,0.74774103,186.39301,2.7917437,100.13147,1.3165631,110.6652,1.4413342,9.2746586,0.0083238195,1.1219362,0.01231148,113.49524,0.0079977945,0
9700053,11.634557,1.0356447,137.6388,3.3453784,223.32192,0.31758786,15.38208,0.32286915,137.63206,1.3703856,57.944326,1.0482972,111.82695,2.031011,202.21849,6.0774253,72.834742,0.82106462,16.740003,0.0076798433,2.0791454,0.013936653,224.06525,0.0073335657,0
9700899,10.117112,0.092532851,5750.5547,230.60418,33.474908,0.21438065,5.6410682,0.15892546,402.72444,11.024108,10.222292,0.43401526,393.432,10.58577,32.272394,0.56156718,285.03665,5.5033315,4.0534696,0.0097695413,0.59154407,0.015736933,35.286313,0.0087270414,1
9701415,80.29081,0.46748579,653343.9,61604.358,4.6349726,0.058638179,0.73670149,0.046557131,1209.3006,87.654276,1.3182921,0.16531659,1312.0916,56.921007,4.2605925,0.1134424,1095.7518,43.531006,0.95526549,0.0096576204,0.15401408,0.010307997,4.2497992,0.0080075109,3
9702057,8.081755,0.075782944,12182.213,538.93434,27.676112,0.18449232,4.6650357,0.13378267,554.22328,16.667898,8.4560991,0.42457823,505.0458,16.265027,25.438738,0.50594417,377.24326,7.5808412,3.6185525,0.011475809,0.54758549,0.017088154,27.90865,0.010827308,1
9702609,34.903854,0.29270411,2774.1204,101.33145,46.07688,0.21352727,6.4562141,0.18337949,369.63298,7.3974172,13.276842,0.45425571,310.49748,7.2003683,43.978549,0.68643168,211.80008,3.577294,4.9848988,0.0075351254,0.67052313,0.010216774,49.951,0.0078865629,0
9702841,11.307622,0.10879203,3001.445,124.39603,38.263166,0.29445042,6.7490479,0.21193946,380.36895,9.4791532,11.045905,0.44778724,345.89166,9.1939254,36.704209,0.63436105,225.23942,4.9827735,4.2838426,0.010682382,0.59486293,0.014928723,38.127387,0.01054446,1
9704246,37.824176,0.28268308,4389.9812,241.60263,29.22632,0.27660332,5.0459113,0.19259156,454.25053,12.834154,7.6335886,0.431868,440.58915,11.881071,27.495306,0.49071524,235.47288,6.815084,4.1807337,0.021710818,0.68380051,0.01678629,31.439256,0.015387815,1
9704258,18.808163,0.18462269,2528.1042,86.338769,53.02683,0.18995913,6.3562142,0.15733502,320.90524,6.3826977,13.461965,0.47810048,291.97311,5.1000973,48.963759,0.6076121,200.63041,2.9874308,5.7599995,0.0057240192,0.81198885,0.009510848,52.377225,0.0059362267,0
9704676,18.819362,0.16460841,2770.9948,112.15881,40.608878,0.24273909,5.9619321,0.19662394,361.38302,8.3009837,10.982765,0.42151511,326.76254,7.3133513,38.011901,0.56853984,203.39778,4.0331115,4.474931,0.0086381896,0.61324108,0.013188882,44.679577,0.0096237962,0
9704774,9.7430812,0.089219942,4471.8184,178.07302,35.046677,0.22658223,5.97623,0.16498465,413.0386,9.8723881,10.385664,0.39179538,364.13387,9.6709386,33.947895,0.5844652,258.71918,5.0541453,4.1501808,0.010721276,0.64592089,0.018368262,36.542668,0.010236126,1
9705542,32.104722,0.25911146,11441.171,518.20788,27.727405,0.20316853,4.8139566,0.14915368,549.21137,15.854021,8.1112043,0.38673489,493.40042,15.200019,26.224414,0.51656115,371.36831,7.983046,3.4437407,0.017568083,0.44278367,0.025279901,26.864939,0.015798566,1
